127.0.0.1 - - [10/Sep/2015:09:59:05 -0500] "GET /AlidaPos/resources/images/ajax-loader.gif?pfdrid_c=true HTTP/1.1" 304 -
127.0.0.1 - - [10/Sep/2015:09:59:05 -0500] "GET /AlidaPos/javax.faces.resource/alida_logo.png.xhtml?ln=images HTTP/1.1" 200 9710
127.0.0.1 - - [10/Sep/2015:09:59:15 -0500] "GET /AlidaPos/corteCaja/Permiso.xhtml HTTP/1.1" 200 28419
127.0.0.1 - - [10/Sep/2015:09:59:15 -0500] "GET /AlidaPos/javax.faces.resource/jsfcrud.css.xhtml?ln=css HTTP/1.1" 200 3838
127.0.0.1 - - [10/Sep/2015:09:59:15 -0500] "GET /AlidaPos/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.0 HTTP/1.1" 304 -
127.0.0.1 - - [10/Sep/2015:09:59:15 -0500] "GET /AlidaPos/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
127.0.0.1 - - [10/Sep/2015:09:59:15 -0500] "GET /AlidaPos/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.0 HTTP/1.1" 304 -
127.0.0.1 - - [10/Sep/2015:09:59:15 -0500] "GET /AlidaPos/javax.faces.resource/layout/layout.css.xhtml?ln=primefaces&v=5.0 HTTP/1.1" 304 -
127.0.0.1 - - [10/Sep/2015:09:59:15 -0500] "GET /AlidaPos/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.0 HTTP/1.1" 304 -
127.0.0.1 - - [10/Sep/2015:09:59:15 -0500] "GET /AlidaPos/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.0 HTTP/1.1" 304 -
127.0.0.1 - - [10/Sep/2015:09:59:15 -0500] "GET /AlidaPos/javax.faces.resource/jsfcrud.js.xhtml?ln=javascript HTTP/1.1" 200 2136
